date,price,pe_ratio,pe_pctile,state,strategy_value,baseline_value
2022-12-22,10956.14,22.19,0.3877551020408163,normal_buy,142833.24576033873,136127.83718205793
2022-12-23,10985.45,22.19,0.3877551020408163,normal_buy,143415.35500987695,136692.00804039
2022-12-27,10822.51,22.19,0.3877551020408163,normal_buy,141488.1687821567,134864.54482403555
2022-12-28,10679.34,22.19,0.3877551020408163,normal_buy,139816.4346719973,133280.4340325041
2022-12-29,10951.05,22.19,0.3877551020408163,normal_buy,143573.72599006828,136871.43260834974
2022-12-30,10939.76,22.19,0.3877551020408163,normal_buy,143625.70846056857,136930.3248173938
2023-01-03,10862.64,26.31,0.6055979643765903,pause,142813.2169034888,136165.03246638086
2023-01-04,10914.8,26.31,0.6055979643765903,pause,143698.01409769626,137018.86690197352
2023-01-05,10741.22,26.31,0.6055979643765903,pause,141619.12036743294,135039.83156309012
2023-01-06,11040.35,26.31,0.6055979643765903,pause,145746.3324974806,139000.52772381183
2023-01-09,11108.45,26.31,0.6055979643765903,pause,146840.40245387497,140057.92227543308
2023-01-10,11205.78,26.31,0.6055979643765903,pause,148318.22666614898,141485.08156183828
2023-01-11,11402.52,26.31,0.6055979643765903,pause,151101.18295426978,144169.13666076722
2023-01-12,11459.61,26.31,0.6055979643765903,pause,152050.70503665676,145090.9609603048
2023-01-13,11541.48,26.31,0.6055979643765903,pause,153325.55830141457,146327.52302252332
2023-01-17,11557.19,26.31,0.6055979643765903,pause,153731.81144407176,146726.70071781753
2023-01-18,11410.29,26.31,0.6055979643765903,pause,152003.19357925045,145061.70132476027
2023-01-19,11295.67,26.31,0.6055979643765903,pause,150698.37275102842,143804.510297552
2023-01-20,11619.03,26.31,0.6055979643765903,pause,155143.69523413677,148121.18743576662
2023-01-23,11872.54,26.31,0.6055979643765903,pause,158671.97239486413,151552.97203627467
2023-01-24,11846.64,26.31,0.6055979643765903,pause,158531.93697826186,151422.35853859517
2023-01-25,11814.69,26.31,0.6055979643765903,pause,158312.47243924867,151213.9773980095
2023-01-26,12051.48,26.31,0.6055979643765903,pause,161621.2363889494,154444.6077156966
2023-01-27,12166.6,26.31,0.6055979643765903,pause,163332.62160745333,156119.91724118486
2023-01-30,11912.39,26.31,0.6055979643765903,pause,160195.1543003313,153057.93409372526
2023-01-31,12101.93,26.31,0.6055979643765903,pause,162883.58336839278,155693.26410123214
2023-02-01,12363.1,26.18,0.6015228426395939,pause,166512.42698823882,159253.2579026604
2023-02-02,12803.14,26.18,0.6015228426395939,pause,172489.6155875306,165121.56145172872
2023-02-03,12573.36,26.18,0.6015228426395939,pause,169672.8843895821,162358.09839576136
2023-02-06,12464.51,26.18,0.6015228426395939,pause,168443.81662521313,161152.5330567924
2023-02-07,12728.27,26.18,0.6015228426395939,pause,172106.66378671938,164762.66246573505
2023-02-08,12495.38,26.18,0.6015228426395939,pause,169249.10208121742,161947.98910779675
2023-02-09,12381.17,26.18,0.6015228426395939,pause,167949.66405302656,160667.75562662198
2023-02-10,12304.92,26.18,0.6015228426395939,pause,167148.59453503726,159878.27592748773
2023-02-13,12502.31,26.18,0.6015228426395939,pause,169940.08453052453,162642.97142208068
2023-02-14,12590.89,26.18,0.6015228426395939,pause,171303.03191286538,163995.31162229713
2023-02-15,12687.89,26.18,0.6015228426395939,pause,172776.52362755337,165458.728682359
2023-02-16,12442.48,26.18,0.6015228426395939,pause,169754.58958939274,162458.41510729352
2023-02-17,12358.18,26.18,0.6015228426395939,pause,168847.83338786493,161557.73064619376
2023-02-21,12060.3,26.18,0.6015228426395939,pause,165137.03223352204,157863.5636406243
2023-02-22,12066.27,26.18,0.6015228426395939,pause,165415.4110534879,158141.70808768904
2023-02-23,12180.14,26.18,0.6015228426395939,pause,167110.38529628707,159834.09938176294
2023-02-24,11969.65,26.18,0.6015228426395939,pause,164546.90827541414,157271.9406890987
2023-02-27,12057.79,26.18,0.6015228426395939,pause,165904.07899430694,158630.0320996527
2023-02-28,12042.12,26.18,0.6015228426395939,pause,165898.35100287228,158623.8805077771
2023-03-01,11938.57,28.55,0.6708860759493671,pause,164738.86577549143,157459.8762604701
2023-03-02,12044.87,28.55,0.6708860759493671,pause,166334.45514942272,159061.88544971874
2023-03-03,12290.81,28.55,0.6708860759493671,pause,169763.34744128215,162509.7146174477
2023-03-06,12302.48,28.55,0.6708860759493671,pause,170116.56031046162,162864.01595068656
2023-03-07,12152.17,28.55,0.6708860759493671,pause,168343.17330391778,161074.16591739672
2023-03-08,12215.33,28.55,0.6708860759493671,pause,169372.387084327,162111.3369180775
2023-03-09,11995.88,28.55,0.6708860759493671,pause,166691.27618960245,159398.98556230796
2023-03-10,11830.28,28.55,0.6708860759493671,pause,164717.15012823822,157398.52406976902
2023-03-13,11923.17,28.55,0.6708860759493671,pause,166136.682554809,158834.3992055089
2023-03-14,12199.79,28.55,0.6708860759493671,pause,169968.36583436566,162719.38998465805
2023-03-15,12251.32,28.55,0.6708860759493671,pause,170844.89189681792,163606.6911731137
2023-03-16,12581.39,28.55,0.6708860759493671,pause,175378.30849750934,168214.5150284623
2023-03-17,12519.88,28.55,0.6708860759493671,pause,174770.7572050304,167592.1198225748
2023-03-20,12562.61,28.55,0.6708860759493671,pause,175531.7499985213,168364.1070365113
2023-03-21,12741.44,28.55,0.6708860759493671,pause,178079.56982674456,170960.7868077801
2023-03-22,12567.15,28.55,0.6708860759493671,pause,175991.3546622809,168822.2163218124
2023-03-23,12729.23,28.55,0.6708860759493671,pause,178319.2674160606,171199.53614543503
2023-03-24,12767.05,28.55,0.6708860759493671,pause,179015.79789698328,171908.18957199896
2023-03-27,12673.07,28.55,0.6708860759493671,pause,177981.95509959795,170842.74989282666
2023-03-28,12610.57,28.55,0.6708860759493671,pause,177361.40631436085,170200.20172823025
2023-03-29,12846.03,28.55,0.6708860759493671,pause,180652.70898591174,173578.11830923567
2023-03-30,12963.14,28.55,0.6708860759493671,pause,182390.2204777376,175360.5319759634
2023-03-31,13181.35,28.55,0.6708860759493671,pause,185455.05168456305,178512.39562030227
2023-04-03,13148.35,28.69,0.6717171717171717,pause,185221.80192595787,178265.48319817026
2023-04-04,13100.07,28.69,0.6717171717171717,pause,184787.9444003379,177810.90239306484
2023-04-05,12967.2,28.69,0.6717171717171717,pause,183243.52332682663,176207.42083907573
2023-04-06,13062.6,28.69,0.6717171717171717,pause,184696.00899261254,177703.78304125104
2023-04-10,13051.23,28.69,0.6717171717171717,pause,184746.73475760221,177749.10541097992
2023-04-11,12964.15,28.69,0.6717171717171717,pause,183803.48054610705,176763.13350647836
2023-04-12,12848.35,28.69,0.6717171717171717,pause,182483.16775681972,175384.22776564307
2023-04-13,13109.39,28.69,0.6717171717171717,pause,186110.30463519244,179147.51011831427
2023-04-14,13079.52,28.69,0.6717171717171717,pause,185918.14795975195,178939.31903335656
2023-04-17,13087.71,28.69,0.6717171717171717,pause,186225.6726725694,179251.3654251877
2023-04-18,13091.79,28.69,0.6717171717171717,pause,186479.2380972697,179507.2457565012
2023-04-19,13088.71,28.69,0.6717171717171717,pause,186638.8014531332,179665.01453243403
2023-04-20,12985.98,28.69,0.6717171717171717,pause,185490.08182581465,178454.8689227508
2023-04-21,13000.77,28.69,0.6717171717171717,pause,185884.25649035317,178858.11484730695
2023-04-24,12969.76,28.69,0.6717171717171717,pause,185677.13300506995,178631.49472085174
2023-04-25,12725.11,28.69,0.6717171717171717,pause,182665.17684013778,175461.94931804886
2023-04-26,12806.48,28.69,0.6717171717171717,pause,183933.46571461367,176783.93088174533
2023-04-27,13160.03,28.69,0.6717171717171717,pause,188775.14608294299,181864.42565964226
2023-04-28,13245.99,28.69,0.6717171717171717,pause,190103.69606020668,183252.34590220268
2023-05-01,13231.47,30.87,0.7329974811083123,pause,190113.06616642038,183251.4681978937
2023-05-02,13113.66,30.87,0.7329974811083123,pause,188766.36452819986,181819.83879704904
